,Статус,Оплатил,Проведен zoom,Дозвон,В работе,Назначен zoom
0,ОТКАЗАЛСЯ ОТ ОБУЧЕНИЯ (Эксперт Сразу),,,дозвон,,назначен zoom
1,Проведён Zoom (Эксперт 4 вопроса),,,дозвон,лид в работе,назначен zoom
2,Дубли сделок-более 2-х недель (Дубли),,,,,
3,Обработано (Продажа без Zoom),,,,лид в работе,
4,Отказался от обучения (Опенеры),,,дозвон,,
5,Отказался от обучения (Эксперт 4 вопроса),,проведен zoom,дозвон,,назначен zoom
6,Обработанная заявка (Опенеры),,,,лид в работе,
7,Успешно реализовано (Продажа без Zoom),статус оплатившего лида,,дозвон,,
8,Новая сделка (Опенеры),,,,,
9,Переназначение (Опенеры),,,дозвон,лид в работе,
10,Отменен (Опенеры),,,дозвон,лид в работе,
11,Оплата (Продажа без Zoom),статус оплатившего лида,,дозвон,,
12,Забронирована Скидка (Эксперт 4 вопроса),,проведен zoom,дозвон,лид в работе,назначен zoom
13,Квалифицирован (Опенеры),,,дозвон,лид в работе,
14,Новая заявка (Продажа без Zoom),,,,лид в работе,
15,ПРОВЕДЁН ZOOM (Эксперт Сразу),,проведен zoom,дозвон,лид в работе,назначен zoom
16,назначен zoom,,,дозвон,,назначен zoom
17,ВЫСТАВЛЕН СЧЁТ (Эксперт Сразу),,проведен zoom,дозвон,лид в работе,назначен zoom
18,Оплачено обучение (Эксперт 4 вопроса),статус оплатившего лида,проведен zoom,дозвон,лид в работе,назначен zoom
19,Внесена предоплата (Эксперт 4 вопроса),статус оплатившего лида,проведен zoom,дозвон,лид в работе,назначен zoom
20,ОПЛАЧЕНО ОБУЧЕНИЕ (Эксперт Сразу),статус оплатившего лида,проведен zoom,дозвон,лид в работе,назначен zoom
21,Был разговор (Опенеры),,,дозвон,лид в работе,
22,Выставлен счёт (Эксперт 4 вопроса),,проведен zoom,дозвон,лид в работе,назначен zoom
23,дубли сделок-менее 2-х недель (Дубли),,,,,
24,Назначен zoom (Опенеры),,,дозвон,лид в работе,назначен zoom
25,Закрыто и не реализовано (Продажа без Zoom),,,дозвон,,
26,Мусор (Опенеры),,,,,
27,ВНЕСЕНА ПРЕДОПЛАТА (Эксперт Сразу),статус оплатившего лида,проведен zoom,дозвон,лид в работе,назначен zoom
28,Предупреждён за 1 час до zoom (Опенеры),,,дозвон,лид в работе,назначен zoom
29,Новая сделка (Коллектор продажи),,,,,
30,Предоплата (Продажа без Zoom),статус оплатившего лида,,дозвон,лид в работе,назначен zoom
31,Оформление (Продажа без Zoom),,,дозвон,лид в работе,назначен zoom
32,Назначен zoom (Коллектор продажи),,,дозвон,лид в работе,назначен zoom
33,НОВАЯ ЗАЯВКА,,,,,
34,Закрыто и не реализовано (Коллектор клоузеры),,,,,
35,Первичный контакт (Коллектор клоузеры),,,,,
36,Был разговор (Курс &quot;Продажа Аутсорс&quot;),,,дозвон,лид в работе,
37,ОБработанная заявка ,,,дозвон,лид в работе,
